id	resultado
AL100	distinción
AL200	distinción
AL201	distinción
AL202	distinción
AL203	distinción
AL204	distinción
AL205	distinción
AL300	distinción
AL301	distinción
AL302	distinción
AL303	distinción
AL400	distinción
AL401	distinción
AL402	distinción
AL403	distinción
AL404	distinción
AL405	distinción
AL500	ceceo
AL501	distinción
AL502	distinción
AL503	distinción
AL504	ceceo
AL505	distinción
AL506	distinción
AL507	ceceo
AL508	distinción
AL509	ceceo
AL600	distinción
AL601	distinción
AL602	distinción
CA100	ceceo
CA101	ceceo
CA102	ceceo
CA200	ceceo
CA201	ceceo
CA202	ceceo
CA203	polimorfismo
CA204	ceceo
CA205	ceceo
CA300	seseo
CA301	ceceo
CA302	polimorfismo
CA400	ceceo
CA500	ceceo
CA600	ceceo
CA601	ceceo
CA602	polimorfismo
CO100	distinción
CO101	distinción
CO102	distinción
CO103	distinción
CO104	distinción
CO200	distinción
CO201	distinción
CO202	distinción
CO300	distinción
CO301	seseo
CO302	seseo
CO400	distinción
CO401	seseo
CO402	seseo
CO403	seseo
CO600	seseo
CO601	seseo
CO602	seseo
CO603	ceceo
CO604	seseo
CO605	distinción
CO606	seseo
CO607	polimorfismo
CO608	ceceo
CO609	seseo
GR200	distinción
GR201	distinción
GR202	distinción
GR203	distinción
GR300	distinción
GR301	ceceo
GR302	ceceo
GR303	seseo
GR304	ceceo
GR305	ceceo
GR306	polimorfismo
GR307	ceceo
GR308	ceceo
GR309	seseo
GR400	distinción
GR401	distinción
GR403	distinción
GR404	distinción
GR405	distinción
GR406	ceceo
GR407	distinción
GR408	distinción
GR409	distinción
GR410	distinción
GR500	ceceo
GR501	ceceo
GR502	ceceo
GR503	ceceo
GR504	ceceo
GR505	distinción
GR506	distinción
GR507	polimorfismo
GR508	polimorfismo
GR509	ceceo
GR510	ceceo
GR511	distinción
GR512	ceceo
GR513	ceceo
GR514	distinción
GR515	distinción
GR600	ceceo
GR601	distinción
GR602	polimorfismo
GR603	ceceo
GR604	ceceo
H100	distinción
H101	distinción
H102	distinción
H200	distinción
H201	distinción
H202	distinción
H203	distinción
H204	distinción
H300	distinción
H301	distinción
H302	seseo
H303	ceceo
H400	distinción
H401	distinción
H402	seseo
H500	seseo
H501	ceceo
H502	ceceo
H503	ceceo
H504	seseo
H600	ceceo
H601	ceceo
H602	ceceo
H603	ceceo
J100	distinción
J101	distinción
J102	distinción
J103	distinción
J200	distinción
J201	distinción
J202	distinción
J203	distinción
J204	distinción
J205	distinción
J300	distinción
J301	polimorfismo
J302	seseo
J303	distinción
J304	distinción
J305	distinción
J306	distinción
J307	distinción
J308	distinción
J309	seseo
J400	distinción
J401	distinción
J402	distinción
J403	distinción
J404	distinción
J500	distinción
J501	distinción
J502	distinción
J503	distinción
J504	seseo
J600	distinción
MA100	polimorfismo
MA101	polimorfismo
MA102	ceceo
MA200	ceceo
MA201	seseo
MA202	seseo
MA203	seseo
MA300	ceceo
MA301	ceceo
MA302	ceceo
MA303	ceceo
MA304	ceceo
MA400	seseo
MA401	ceceo
MA402	ceceo
MA403	ceceo
MA404	ceceo
MA405	ceceo
MA406	seseo
MA407	ceceo
MA408	ceceo
MA500	polimorfismo
MA501	ceceo
MA502	ceceo
MA503	ceceo
MA600	ceceo
SE100	seseo
SE101	distinción
SE102	seseo
SE200	seseo
SE201	seseo
SE300	ceceo
SE301	distinción
SE302	polimorfismo
SE303	ceceo
SE304	ceceo
SE305	ceceo
SE306	ceceo
SE307	seseo
SE308	polimorfismo
SE309	ceceo
SE400	ceceo
SE401	ceceo
SE402	ceceo
SE403	seseo
SE404	ceceo
SE405	seseo
SE406	ceceo
SE500	ceceo
SE501	ceceo
SE502	ceceo
SE503	ceceo
SE600	polimorfismo
SE601	polimorfismo
SE602	seseo
SE603	ceceo
