token	tag	lemma	lttr
Vuelvo	VLfin	volver	6
al	PAL	al	2
Prado	NP	<unknown>	5
cada	QU	cada	4
pocos	QU	pocos	5
días	NC	día	4
en	PREP	en	2
este	DM	este	4
verano	NC	verano	6
tórrido	ADJ	<unknown>	7
que	CQUE	que	3
nunca	ADV	nunca	5
se	SE	se	2
acaba	VLfin	acabar	5
.	FS	.	1
Se	SE	se	2
prolonga	VLfin	prolongar	8
la	ART	el	2
exposición	NC	exposición	10
de	PREP	de	2
El	NP	<unknown>	2
Bosco	NP	<unknown>	5
y	CC	y	1
,	CM	,	1
en vez de	PREP	en~vez~de	9
llegar	VLinf	llegar	6
algo	QU	algo	4
de	PREP	de	2
fresco	NC	fresco	6
de	PREP	de	2
los	ART	el	3
antiguos	ADJ	antiguo	8
septiembres	NC	<unknown>	11
,	CM	,	1
se	SE	se	2
prolonga	VLfin	prolongar	8
y	CC	y	1
se	SE	se	2
exagera	VLfin	exagerar	7
un	ART	un	2
calor	NC	calor	5
sin	PREP	sin	3
respiro	NC	respiro	7
.	FS	.	1
A	PREP	a	1
media	QU	medio	5
tarde	NC	tarde	5
,	CM	,	1
el	ART	el	2
cielo	NC	cielo	5
sin	PREP	sin	3
nubes	NC	nube	5
es	VSfin	ser	2
de	PREP	de	2
un	ART	un	2
blanco	NC	blanco	6
lívido	ADJ	lívido	6
y	CC	y	1
en	PREP	en	2
el	ART	el	2
aire	NC	aire	4
hay	VHfin	haber	3
una	ART	un	3
gasa	NC	gasa	4
candente	ADJ	candente	8
de	PREP	de	2
polvo	NC	polvo	5
de	PREP	de	2
desierto	NC	desierto	8
.	FS	.	1
No	NEG	no	2
hay	VHfin	haber	3
más	ADV	más	3
brisa	NC	brisa	5
fresca	ADJ	fresco	6
que	CQUE	que	3
la	ART	el	2
que	CQUE	que	3
sale	VLfin	salar	4
de	PREP	de	2
los	ART	el	3
vestíbulos	NC	<unknown>	10
de	PREP	de	2
los	ART	el	3
hoteles	NC	hotel	7
de	PREP	de	2
lujo	NC	lujo	4
y	CC	y	1
de	PREP	de	2
las	ART	el	3
tiendas	NC	tienda	7
de	PREP	de	2
moda	NC	moda	4
abiertas	ADJ	abierto	8
de	PREP	de	2
par	NC	par	3
en	PREP	en	2
par	NC	par	3
,	CM	,	1
quizá	ADV	quizá	5
con	PREP	con	3
objeto	NC	objeto	6
de	CSUBI	de	2
lograr	VLinf	lograr	6
un	ART	un	2
despilfarro	NC	despilfarro	11
de	PREP	de	2
energía	NC	energía	7
más	ADV	más	3
eficiente	ADJ	eficiente	9
.	FS	.	1
Vuelve	VLfin	volver	6
uno	CARD	uno	3
al	PAL	al	2
Prado	NP	<unknown>	5
,	CM	,	1
entre	PREP	entre	5
otras	QU	otro	5
cosas	NC	cosa	5
,	CM	,	1
buscando	VLger	buscar	8
el	ART	el	2
fresco	NC	fresco	6
del	PDEL	del	3
aire	NC	aire	4
acondicionado	VLadj	acondicionar	13
y	CC	y	1
de	PREP	de	2
los	ART	el	3
techos	NC	techo	6
muy	ADV	muy	3
altos	ADJ	alto	5
,	CM	,	1
atravesando	VLger	atravesar	11
en	PREP	en	2
el	ART	el	2
camino	NC	camino	6
las	ART	el	3
arboledas	NC	arboleda	9
del	PDEL	del	3
Retiro	NP	<unknown>	6
,	CM	,	1
que	CQUE	que	3
incluso	ADV	incluso	7
tienen	VLfin	tener	6
un	ART	un	2
olor	NC	olor	4
de	PREP	de	2
rocío	NC	rocío	5
a	PREP	a	1
primera	ORD	primero	7
hora	NC	hora	4
de	PREP	de	2
la	ART	el	2
mañana	NC	mañana	6
,	CM	,	1
cuando	CSUBX	cuando	6
están	VEfin	estar	5
recién	ADV	recién	6
regadas	VLadj	regar	7
.	FS	.	1
Ir	VLinf	ir	2
por	PREP	por	3
el	ART	el	2
Retiro	NP	<unknown>	6
es	VSfin	ser	2
una	ART	un	3
buena	ADJ	bueno	5
introducción	NC	introducción	12
para	PREP	para	4
El	NP	<unknown>	2
Bosco	NP	<unknown>	5
.	FS	.	1
Al	CSUBI	al	2
ir	VLinf	ir	2
se	SE	se	2
ve	VLfin	ver	2
el	ART	el	2
parque	NC	parque	6
de	PREP	de	2
una	ART	un	3
manera	NC	manera	6
y	CC	y	1
al	CSUBI	al	2
volver	VLinf	volver	6
se	SE	se	2
ve	VLfin	ver	2
de	PREP	de	2
otra	QU	otro	4
del	PDEL	del	3
todo	QU	todo	4
diferente	ADJ	diferente	9
.	FS	.	1
La	ART	el	2
perspectiva	NC	perspectiva	11
ordenada	VLadj	ordenar	8
de	PREP	de	2
los	ART	el	3
árboles	NC	árbol	7
alejándose	VLadj	alejar	10
sobre	PREP	sobre	5
las	ART	el	3
praderas	NC	pradera	8
hacia	PREP	hacia	5
una	ART	un	3
umbría	NC	<unknown>	6
acogedora	ADJ	acogedor	9
se	SE	se	2
parece	VLfin	parecer	6
mucho	ADV	mucho	5
a	PREP	a	1
la	ART	el	2
de	PREP	de	2
esos	DM	ese	4
bosquecillos	NC	bosque	12
que	CQUE	que	3
pinta	VLfin	pintar	5
El	VLinf	<unknown>	2
Bosco	NC	<unknown>	5
en	PREP	en	2
sus	PPO	suyo	3
visiones	NC	visión	8
del	PDEL	del	3
paraíso	NC	paraíso	7
terrenal	ADJ	terrenal	8
.	FS	.	1
En	PREP	en	2
el	ART	el	2
Retiro	NP	<unknown>	6
,	CM	,	1
personas	NC	persona	8
solas	ADJ	solo	5
,	CM	,	1
parejas	NC	pareja	7
,	CM	,	1
grupos	NC	grupo	6
de	PREP	de	2
amigos	NC	amigo	6
,	CM	,	1
gente	NC	gente	5
que	CQUE	que	3
hace	VLfin	hacer	4
ejercicios	NC	ejercicio	10
diversos	QU	diversos	8
,	CM	,	1
salpican	VLfin	<unknown>	8
el	ART	el	2
espacio	NC	espacio	7
como	CSUBX	como	4
las	ART	el	3
figuras	NC	figura	7
de	PREP	de	2
un	ART	un	2
ordenado	VLadj	ordenar	8
paraíso	NC	paraíso	7
.	FS	.	1
Porque	CSUBX	porque	6
acabamos	VLfin	acabar	8
de	PREP	de	2
verlos	VLinf	ver	6
con	PREP	con	3
tanta	ADJ	tanto	5
exactitud	NC	exactitud	9
en	PREP	en	2
las	ART	el	3
pinturas	NC	pintura	8
nos	PPX	nosotros	3
fijamos	VLfin	fijar	7
más	ADV	más	3
en	PREP	en	2
los	ART	el	3
pájaros	NC	pájaro	7
,	CM	,	1
el	ART	el	2
negro	NC	negro	5
azulado	VLadj	<unknown>	7
y	CC	y	1
los	ART	el	3
largos	ADJ	largo	6
picos	NC	pico	5
y	CC	y	1
el	ART	el	2
blanco	NC	blanco	6
de	PREP	de	2
las	ART	el	3
urracas	NC	<unknown>	7
,	CM	,	1
las	ART	el	3
rápidas	ADJ	rápido	7
siluetas	NC	silueta	8
negras	ADJ	negro	6
de	PREP	de	2
los	ART	el	3
cuervos	NC	cuervo	7
y	CC	y	1
los	ART	el	3
mirlos	NC	<unknown>	6
.	FS	.	1
El	ART	el	2
catálogo	NC	catálogo	8
de	PREP	de	2
las	ART	el	3
delicias	NC	delicia	8
terrenales	ADJ	terrenal	10
es	VSfin	ser	2
más	ADV	más	3
limitado	VLadj	limitar	8
en	PREP	en	2
el	ART	el	2
parque	NC	parque	6
que	CQUE	que	3
en	PREP	en	2
el	ART	el	2
gran	ADJ	gran|grande	4
Jardín	NP	<unknown>	6
de	PREP	de	2
El	NP	<unknown>	2
Bosco	NP	<unknown>	5
,	CM	,	1
pero	CCAD	pero	4
también	ADV	también	7
lo	PPC	él	2
ilustra	VLfin	ilustrar	7
a	PREP	a	1
uno	CARD	uno	3
sobre	PREP	sobre	5
las	ART	el	3
variedades	NC	variedad	10
misteriosas	ADJ	misterioso	11
del	PDEL	del	3
disfrute	NC	disfrute	8
de	PREP	de	2
la	ART	el	2
vida	NC	vida	4
.	FS	.	1
Las	ART	el	3
parejas	NC	pareja	7
que	CQUE	que	3
se	SE	se	2
abrazan	VLfin	abrazar	7
tendidas	VLadj	<unknown>	8
sobre	PREP	sobre	5
la	ART	el	2
hierba	NC	hierba	6
,	CM	,	1
una	ART	un	3
